S&P/ASX 300 Index (1 April 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
MQG,Macquarie Group Ltd,Financials,"30,388,200,000",1.99,,,
MSB,Mesoblast Ltd,Health Care,"744,124,000",0.05,,,
MTS,Metcash Ltd,Consumer Staples,"2,864,160,000",0.19,,,
MVF,Monash Ivf Group Ltd,Health Care,"107,283,000",0.01,,,
MYR,Myer Holdings Ltd,Consumer Discretionary,"114,979,000",0.01,,,
MYS,Mystate Ltd,Financials,"343,035,000",0.02,,,
MYX,Mayne Pharma Group Ltd,Health Care,"520,511,000",0.03,,,
NAB,National Australia Bank Ltd,Financials,"49,775,600,000",3.25,,,
NAN,Nanosonics Ltd,Health Care,"1,683,040,000",0.11,,,
NCK,Nick Scali Ltd,Consumer Discretionary,"273,780,000",0.02,,,
NCM,Newcrest Mining Ltd,Materials,"17,721,800,000",1.16,,,
NCZ,New Century Resources Ltd,Materials,"45,287,700",0,,,
NEA,Nearmap Ltd,Information Technology,"511,277,000",0.03,,,
NEC,Nine Entertainment Co. Holdings Ltd,Communication Services,"1,952,680,000",0.13,,,
NGI,Navigator Global Investments Ltd,Financials,"372,940,000",0.02,,,
NHC,New Hope Corporation Ltd,Energy,"1,156,070,000",0.08,,,
NHF,Nib Holdings Ltd,Financials,"2,339,720,000",0.15,,,
NIC,Nickel Mines Ltd,Materials,"651,008,000",0.04,,,
NSR,National Storage REIT,Real Estate,"1,251,150,000",0.08,,,
NST,Northern Star Resources Ltd,Materials,"7,792,710,000",0.51,,,
NUF,Nufarm Ltd,Materials,"1,936,440,000",0.13,,,
NWH,NRW Holdings Ltd,Industrials,"535,490,000",0.04,,,
NWL,Netwealth Group Ltd,Financials,"1,604,440,000",0.1,,,
NWS,News Corporation,Communication Services,"757,139,000",0.05,,,
NXT,NEXTDC Ltd,Information Technology,"3,073,220,000",0.2,,,
OFX,OFX Group Ltd,Financials,"301,267,000",0.02,,,
OGC,Oceanagold Corporation,Materials,"109,683,000",0.01,,,
OML,Ooh!Media Ltd,Communication Services,"155,127,000",0.01,,,
ORA,Orora Ltd,Materials,"2,920,180,000",0.19,,,
ORE,Orocobre Ltd,Materials,"547,533,000",0.04,,,
ORG,Origin Energy Ltd,Energy,"7,714,100,000",0.5,,,
ORI,Orica Ltd,Materials,"6,226,500,000",0.41,,,
OSH,Oil Search Ltd,Energy,"3,628,900,000",0.24,,,
OZL,OZ Minerals Ltd,Materials,"2,382,780,000",0.16,,,
PDL,Pendal Group Ltd,Financials,"1,436,470,000",0.09,,,
PDN,Paladin Energy Ltd,Energy,"99,366,700",0.01,,,
PET,Phoslock Environmental Technologies Ltd,Industrials,"290,971,000",0.02,,,
PGH,Pact Group Holdings Ltd,Materials,"528,030,000",0.03,,,
PLS,Pilbara Minerals Ltd,Materials,"378,030,000",0.02,,,
PME,Pro Medicus Ltd,Health Care,"2,019,690,000",0.13,,,
PMV,Premier Investments Ltd,Consumer Discretionary,"1,963,500,000",0.13,,,
PNI,Pinnacle Investment Management Group Ltd,Financials,"524,584,000",0.03,,,
PNV,Polynovo Ltd,Health Care,"1,061,050,000",0.07,,,
PPT,Perpetual Ltd,Financials,"1,183,450,000",0.08,,,
PRN,Perenti Global Ltd,Materials,"419,318,000",0.03,,,
PRU,Perseus Mining Ltd,Materials,"1,080,450,000",0.07,,,
PTM,Platinum Asset Management Ltd,Financials,"1,953,640,000",0.13,,,
QAN,Qantas Airways Ltd,Industrials,"4,815,260,000",0.31,,,
QBE,QBE Insurance Group Ltd,Financials,"11,250,100,000",0.74,,,
QUB,QUBE Holdings Ltd,Industrials,"3,495,550,000",0.23,,,
RDC,Redcape Hotel Group,Consumer Discretionary,"345,122,000",0.02,,,
REA,REA Group Ltd,Communication Services,"10,140,700,000",0.66,,,
REG,Regis Healthcare Ltd,Health Care,"455,634,000",0.03,,,
RFF,Rural Funds Group,Real Estate,"638,276,000",0.04,,,
RHC,Ramsay Health Care Ltd,Health Care,"11,575,200,000",0.76,,,
RIO,RIO Tinto Ltd,Materials,"31,393,800,000",2.05,,,
RMD,Resmed Inc,Health Care,"9,625,990,000",0.63,,,
RMS,Ramelius Resources Ltd,Materials,"737,723,000",0.05,,,
RRL,Regis Resources Ltd,Materials,"1,849,780,000",0.12,,,
RSG,Resolute Mining Ltd,Materials,"856,251,000",0.06,,,
RWC,Reliance Worldwide Corporation Ltd,Industrials,"2,054,250,000",0.13,,,
S32,SOUTH32 Ltd,Materials,"8,611,940,000",0.56,,,
SAR,Saracen Mineral Holdings Ltd,Materials,"4,047,610,000",0.26,,,
SBM,ST Barbara Ltd,Materials,"1,497,590,000",0.1,,,
SCG,Scentre Group,Real Estate,"8,122,940,000",0.53,,,
SCP,Shopping Centres Australasia Property Group,Real Estate,"2,138,580,000",0.14,,,
SDA,Speedcast International Ltd,,"189,396,000",0.01,,,
SDF,Steadfast Group Ltd,Financials,"2,149,380,000",0.14,,,
SEK,Seek Ltd,Industrials,"5,221,080,000",0.34,,,
SFR,Sandfire Resources Ltd,Materials,"587,496,000",0.04,,,
SGF,SG Fleet Group Ltd,Industrials,"317,213,000",0.02,,,
SGM,Sims Ltd,Materials,"1,230,280,000",0.08,,,
SGP,Stockland,Real Estate,"6,032,410,000",0.39,,,
SGR,The Star Entertainment Group Ltd,Consumer Discretionary,"1,972,240,000",0.13,,,
SHL,Sonic Healthcare Ltd,Health Care,"11,558,100,000",0.76,,,
SHV,Select Harvests Ltd,Consumer Staples,"671,331,000",0.04,,,
SIG,Sigma Healthcare Ltd,Health Care,"677,988,000",0.04,,,
SIQ,Smartgroup Corporation Ltd,Industrials,"645,700,000",0.04,,,
SKC,Skycity Entertainment Group Ltd,Consumer Discretionary,"1,134,230,000",0.07,,,
SKI,Spark Infrastructure Group,Utilities,"3,357,350,000",0.22,,,
SLC,Superloop Ltd,,"204,885,000",0.01,,,
SLR,Silver Lake Resources Ltd,Materials,"1,214,180,000",0.08,,,
SM1,Synlait Milk Ltd,Consumer Staples,"1,102,740,000",0.07,,,
SOL,Washington H Soul Pattinson & Company Ltd,Energy,"4,062,540,000",0.27,,,
SPK,Spark New Zealand Ltd,,"7,348,180,000",0.48,,,
SPL,Starpharma Holdings Ltd,Health Care,"286,873,000",0.02,,,
SSM,Service Stream Ltd,Industrials,"741,619,000",0.05,,,
STO,Santos Ltd,Energy,"7,124,090,000",0.47,,,
SUL,Super Retail Group Ltd,Consumer Discretionary,"914,632,000",0.06,,,
SUN,Suncorp Group Ltd,Financials,"11,512,500,000",0.75,,,
SVW,Seven Group Holdings Ltd,Industrials,"3,814,380,000",0.25,,,
SWM,Seven West Media Ltd,Communication Services,"119,967,000",0.01,,,
SXL,Southern Cross Media Group Ltd,Communication Services,"126,887,000",0.01,,,
SXY,SENEX Energy Ltd,Energy,"233,112,000",0.02,,,
SYD,Sydney Airport,Industrials,"12,632,400,000",0.83,,,
SYR,Syrah Resources Ltd,Materials,"107,785,000",0.01,,,
TAH,Tabcorp Holdings Ltd,Consumer Discretionary,"5,141,750,000",0.34,,,
TCL,Transurban Group,Industrials,"32,930,600,000",2.15,,,
TGR,Tassal Group Ltd,Consumer Staples,"725,812,000",0.05,,,
TLS,Telstra Corporation Ltd,,"36,512,400,000",2.39,,,
TNE,Technology One Ltd,Information Technology,"2,549,370,000",0.17,,,
TPM,TPG Telecom Ltd,,"6,392,620,000",0.42,,,
TWE,Treasury Wine Estates Ltd,Consumer Staples,"7,221,050,000",0.47,,,
UMG,United Malt Group Ltd,Consumer Staples,"1,118,850,000",0.07,,,
URW,Unibail-Rodamco-Westfield,Real Estate,"1,317,400,000",0.09,,,
VCX,Vicinity Centres,Real Estate,"3,848,990,000",0.25,,,
VEA,Viva Energy Group Ltd,Energy,"2,469,560,000",0.16,,,
VOC,Vocus Group Ltd,,"1,539,020,000",0.1,,,
VRL,Village Roadshow Ltd,Communication Services,"264,503,000",0.02,,,
VRT,Virtus Health Ltd,Health Care,"150,329,000",0.01,,,
VUK,Virgin Money Uk Plc,Financials,"1,124,930,000",0.07,,,
VVR,Viva Energy REIT,Real Estate,"1,795,970,000",0.12,,,
WAF,West African Resources Ltd,Materials,"361,311,000",0.02,,,
WBC,Westpac Banking Corporation,Financials,"59,592,800,000",3.9,,,
WEB,Webjet Ltd,Consumer Discretionary,"509,860,000",0.03,,,
WES,Wesfarmers Ltd,Consumer Discretionary,"38,856,700,000",2.54,,,
WGX,Westgold Resources Ltd,Materials,"753,811,000",0.05,,,
WHC,Whitehaven Coal Ltd,Energy,"1,975,140,000",0.13,,,
WOR,Worley Ltd,Energy,"3,200,380,000",0.21,,,
WOW,Woolworths Group Ltd,Consumer Staples,"44,268,800,000",2.89,,,
WPL,Woodside Petroleum Ltd,Energy,"17,378,900,000",1.14,,,
WPP,WPP AUNZ Ltd,Communication Services,"174,691,000",0.01,,,
WSA,Western Areas Ltd,Materials,"532,435,000",0.03,,,
WTC,Wisetech Global Ltd,Information Technology,"5,443,160,000",0.36,,,
XRO,Xero Ltd,Information Technology,"9,626,940,000",0.63,,,
Z1P,ZIP Co Ltd,Financials,"618,768,000",0.04,,,
